iter	Passed	Remaining
475	12192	13422
476	12276	13460
477	12317	13451
478	12349	13432
479	12392	13424
480	12430	13412
481	12470	13402
482	12520	13401
483	12573	13404
484	12625	13406
485	12664	13394
486	12700	13378
487	12743	13370
488	12794	13369
489	12831	13355
490	12862	13334
491	12909	13329
492	12944	13312
493	13004	13320
494	13080	13344
495	13137	13349
496	13175	13334
497	13205	13311
498	13233	13286
499	13262	13262
500	13291	13238
501	13324	13217
502	13370	13211
503	13423	13210
504	13471	13204
505	13579	13257
506	13611	13236
507	13643	13213
508	13677	13193
509	13708	13170
510	13745	13153
511	13807	13160
512	13851	13149
513	13904	13146
514	13964	13151
515	14012	13143
516	14057	13133
517	14117	13136
518	14183	13144
519	14232	13137
520	14279	13128
521	14304	13099
522	14346	13084
523	14395	13076
524	14431	13057
525	14462	13032
526	14490	13005
527	14519	12979
528	14545	12950
529	14566	12917
530	14594	12890
531	14624	12864
532	14649	12835
533	14679	12810
534	14717	12792
535	14744	12764
536	14775	12739
537	14805	12714
538	14849	12700
539	14928	12717
540	14964	12696
541	15003	12677
542	15044	12661
543	15080	12641
544	15112	12616
545	15143	12592
546	15185	12575
547	15212	12547
548	15235	12516
549	15262	12487
550	15284	12455
551	15304	12420
552	15323	12386
553	15344	12352
554	15363	12318
555	15391	12291
556	15419	12263
557	15440	12230
558	15462	12198
559	15482	12164
560	15501	12130
561	15522	12097
562	15542	12064
563	15561	12029
564	15580	11995
565	15599	11961
566	15620	11928
567	15643	11897
568	15664	11865
569	15685	11833
570	15705	11799
571	15726	11767
572	15745	11733
573	15764	11700
574	15786	11668
575	15809	11637
576	15828	11603
577	15847	11570
578	15868	11538
579	15891	11507
580	15912	11475
581	15933	11443
582	15956	11413
583	15975	11379
584	15996	11348
585	16016	11315
586	16036	11283
587	16056	11250
588	16075	11217
589	16094	11184
590	16112	11150
591	16134	11119
592	16157	11089
593	16181	11060
594	16205	11030
595	16227	11000
596	16250	10969
597	16270	10937
598	16293	10907
599	16318	10879
600	16340	10848
601	16362	10817
602	16388	10789
603	16417	10763
604	16448	10739
605	16482	10716
606	16514	10692
607	16543	10666
608	16593	10653
609	16645	10642
610	16676	10617
611	16709	10593
612	16737	10566
613	16768	10541
614	16809	10522
615	16846	10501
616	16894	10487
617	16946	10475
618	17012	10471
619	17043	10446
620	17069	10417
621	17094	10388
622	17126	10363
623	17153	10336
624	17186	10311
625	17221	10289
626	17254	10264
627	17283	10238
628	17309	10209
629	17334	10180
630	17364	10154
631	17397	10129
632	17427	10103
633	17457	10078
634	17509	10064
635	17548	10043
636	17582	10019
637	17635	10006
638	17726	10014
639	17792	10008
640	17868	10007
641	17913	9989
642	17985	9985
643	18073	9990
644	18125	9976
645	18163	9953
646	18255	9960
647	18296	9938
648	18396	9949
649	18453	9936
650	18489	9912
651	18522	9886
652	18569	9867
653	18603	9842
654	18651	9824
655	18720	9816
656	18755	9791
657	18785	9763
658	18816	9736
659	18857	9714
660	18901	9694
661	18937	9668
662	18968	9641
663	19002	9615
664	19041	9592
665	19078	9568
666	19114	9542
667	19165	9525
668	19199	9499
669	19235	9473
670	19290	9458
671	19367	9453
672	19431	9441
673	19502	9432
674	19594	9434
675	19670	9427
676	19714	9405
677	19779	9393
678	19813	9367
679	19848	9340
680	19880	9312
681	19921	9289
682	19962	9265
683	20023	9250
684	20104	9245
685	20141	9219
686	20177	9192
687	20217	9168
688	20253	9141
689	20294	9117
690	20336	9094
691	20379	9070
692	20414	9043
693	20490	9034
694	20528	9009
695	20560	8980
696	20602	8956
697	20640	8930
698	20676	8903
699	20717	8878
700	20749	8850
701	20800	8829
702	20856	8811
703	20894	8785
704	20928	8757
705	20964	8730
706	21006	8705
707	21046	8680
708	21084	8653
709	21122	8627
710	21153	8598
711	21186	8569
712	21218	8541
713	21250	8511
714	21296	8488
715	21336	8463
716	21375	8436
717	21409	8408
718	21444	8381
719	21475	8351
720	21509	8323
721	21541	8294
722	21576	8266
723	21610	8238
724	21642	8209
725	21672	8179
726	21729	8159
727	21820	8152
728	21912	8145
729	21955	8120
730	22027	8105
731	22134	8103
732	22178	8078
733	22215	8050
734	22248	8021
735	22284	7993
736	22327	7967
737	22372	7942
738	22401	7911
739	22427	7879
740	22472	7854
741	22505	7825
742	22537	7795
743	22571	7766
744	22612	7739
745	22655	7713
746	22697	7687
747	22724	7655
748	22756	7626
749	22796	7598
750	22827	7568
751	22876	7544
752	22909	7514
753	22941	7484
754	22988	7459
755	23019	7429
756	23050	7399
757	23081	7369
758	23106	7336
759	23147	7309
760	23179	7279
761	23220	7252
762	23260	7225
763	23286	7193
764	23317	7162
765	23344	7131
766	23380	7102
767	23406	7070
768	23427	7037
769	23453	7005
770	23485	6975
771	23515	6944
772	23540	6912
773	23568	6881
774	23603	6852
775	23644	6825
776	23679	6796
777	23713	6766
778	23745	6736
779	23768	6703
780	23792	6671
781	23812	6638
782	23832	6605
783	23851	6571
784	23873	6538
785	23895	6505
786	23933	6477
787	23979	6451
788	24031	6426
789	24113	6410
790	24163	6384
791	24293	6380
792	24348	6355
793	24392	6328
794	24434	6300
795	24471	6271
796	24517	6244
797	24544	6212
798	24588	6185
799	24620	6155
800	24653	6124
801	24677	6092
802	24703	6060
803	24732	6029
804	24754	5996
805	24778	5963
806	24806	5932
807	24838	5902
808	24882	5874
809	24911	5843
810	24944	5813
811	24971	5781
812	24999	5750
813	25020	5717
814	25047	5685
815	25067	5652
816	25090	5620
817	25115	5588
818	25142	5556
819	25176	5526
820	25210	5496
821	25249	5467
822	25275	5436
823	25308	5405
824	25332	5373
825	25362	5342
826	25381	5309
827	25402	5276
828	25422	5244
829	25445	5211
830	25468	5179
831	25492	5147
832	25516	5115
833	25539	5083
834	25560	5050
835	25581	5018
836	25610	4987
837	25636	4955
838	25663	4924
839	25689	4893
840	25713	4861
841	25747	4831
842	25786	4802
843	25820	4772
844	25852	4742
845	25882	4711
846	25920	4682
847	25955	4652
848	25994	4623
849	26038	4595
850	26076	4565
851	26105	4534
852	26137	4504
853	26161	4472
854	26180	4439
855	26198	4407
856	26217	4374
857	26235	4342
858	26255	4309
859	26274	4277
860	26296	4245
861	26315	4212
862	26337	4181
863	26363	4149
864	26388	4118
865	26412	4086
866	26436	4055
867	26458	4023
868	26481	3992
869	26504	3960
870	26527	3928
871	26550	3897
872	26572	3865
873	26597	3834
874	26618	3802
875	26640	3771
876	26666	3740
877	26688	3708
878	26710	3676
879	26734	3645
880	26758	3614
881	26779	3582
882	26800	3551
883	26826	3520
884	26851	3489
885	26876	3458
886	26898	3426
887	26921	3395
888	26942	3364
889	26962	3332
890	26981	3300
891	27000	3269
892	27019	3237
893	27040	3206
894	27059	3174
895	27076	3142
896	27096	3111
897	27113	3079
898	27131	3048
899	27151	3016
900	27169	2985
901	27188	2953
902	27207	2922
903	27229	2891
904	27249	2860
905	27268	2829
906	27285	2797
907	27304	2766
908	27322	2735
909	27342	2704
910	27361	2673
911	27381	2642
912	27401	2611
913	27432	2581
914	27464	2551
915	27499	2521
916	27528	2491
917	27557	2461
918	27581	2431
919	27600	2400
920	27620	2369
921	27639	2338
922	27660	2307
923	27680	2276
924	27700	2245
925	27720	2215
926	27740	2184
927	27760	2153
928	27778	2123
929	27796	2092
930	27817	2061
931	27839	2031
932	27860	2000
933	27880	1970
934	27899	1939
935	27917	1908
936	27940	1878
937	27962	1848
938	27982	1817
939	28005	1787
940	28028	1757
941	28046	1726
942	28064	1696
943	28082	1665
944	28100	1635
945	28115	1604
946	28132	1574
947	28148	1544
948	28164	1513
949	28180	1483
950	28195	1452
951	28213	1422
952	28230	1392
953	28250	1362
954	28268	1332
955	28287	1301
956	28304	1271
957	28321	1241
958	28338	1211
959	28354	1181
960	28369	1151
961	28384	1121
962	28405	1091
963	28430	1061
964	28449	1031
965	28466	1001
966	28484	972
967	28504	942
968	28521	912
969	28538	882
970	28556	852
971	28572	823
972	28588	793
973	28606	763
974	28622	733
975	28639	704
976	28655	674
977	28671	644
978	28688	615
979	28704	585
980	28722	556
981	28741	526
982	28762	497
983	28783	468
984	28816	438
985	28838	409
986	28865	380
987	28893	350
988	28919	321
989	28954	292
990	28980	263
991	28999	233
992	29022	204
993	29039	175
994	29058	146
995	29077	116
996	29095	87
997	29112	58
998	29129	29
999	29150	0
